What spends most of its time in the upper layer of the ocean to a depth of?	2	1.0000	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	18	1	1	1	0	0	0	1	1	18	1	1	1	0	0	0	1	1	0	0	0	1	0	-4.303	-2.672	-2.873	-3.717	-3.153	-3.243	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	5	1	1	1	1	1	0	0	0	0	0	0	5	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0
What is oceanic whitetip shark for its long rounded fins?	2	1.0000	0	0	0	0	0	0	0	6	1	0	0	0	0	0	1	0	11	1	0	0	0	0	0	1	1	17	1	1	1	0	0	0	1	1	1	0	0	1	0	-4.157	-3.776	-3.179	-3.932	-3.966	-3.443	2	1	1	0	0	0	3	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	3	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0
Who photographed at the Elphinstone reef accompanied by pilot fish?	2	1.3333	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	11	1	0	0	0	0	0	1	1	18	1	1	1	0	0	0	1	1	0	0	1	0	0	-7.019	-3.492	-3.523	-5.567	-3.745	-3.682	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0
What is brown shark, nigano shark, whitetip whaler, and whitetip shark?	2	2.6667	0	1	0	0	0	0	1	8	1	0	0	0	0	0	1	0	15	1	1	0	0	0	0	1	1	31	1	1	1	1	1	1	1	1	1	0	1	0	0	-4.411	-3.699	-3.731	-3.99	-3.774	-3.825	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
What is a danger to survivors of oceanic shipwrecks?	2	3.3333	0	0	1	0	0	0	1	5	1	0	0	0	0	0	1	0	10	1	0	0	0	0	0	1	1	33	1	1	1	1	1	1	1	1	1	0	0	1	0	-4.301	-3.306	-3.601	-3.94	-3.562	-3.676	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	7	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0
What is the oceanic whitetip shark?	2	3.0000	0	0	0	0	0	0	0	10	1	0	0	0	0	0	1	1	7	1	0	0	0	0	0	1	0	20	1	1	1	0	0	0	1	1	1	0	0	1	0	-4.191	-3.435	-3.716	-4.109	-3.805	-3.899	5	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0
What covers vast stretches of empty water scanning for possible food sources?	2	4.0000	0	0	0	0	1	0	1	3	1	0	0	0	0	0	0	0	13	1	1	0	0	0	0	1	1	33	1	1	1	1	1	1	1	1	0	0	0	1	0	-4.89	-3.562	-3.191	-4.5	-3.7	-3.474	1	1	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	5	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0
Who is found globally in deep, open water?	2	2.3333	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	10	1	0	0	0	0	0	1	1	18	1	1	1	0	0	0	1	1	1	0	0	1	0	-4.89	-3.146	-2.968	-4.5	-3.132	-3.267	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0
What are conspicuously rounded?	2	2.3333	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	1	0	17	1	1	1	0	0	0	1	1	1	0	0	1	0	-4.469	-3.565	-3.09	-3.883	-3.674	-3.355	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0
When does the shark spend of?	2	1.0000	0	0	0	0	0	0	0	14	1	1	0	0	0	0	1	1	7	1	0	0	0	0	0	1	0	18	1	1	1	0	0	0	1	1	0	0	0	1	0	-2.816	-3.088	-2.873	-3.15	-3.2	-3.243	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	1	1	1	1	1	0	0	0	0	4	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0
